verse_reference,strong,surface,morph_code,question_code,node_cluster_code,obs_cluster_code,observation_id,status,created_at
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.11,M67,M67,7461,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.12,M67,M67,7462,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.13,M67,M67,7463,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.14,M67,M67,7464,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.15,M67,M67,7465,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.16,M67,M67,7466,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.2,M67,M67,7452,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.3,M67,M67,7453,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.4,M67,M67,7454,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.5,M67,M67,7455,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.6,M67,M67,7456,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.7,M67,M67,7457,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.8,M67,M67,7458,draft,2026-09-21T17:48:25Z
2Cor.7.12,G0091,wrong,V-AAP-GSM,M0.7.9,M67,M67,7459,draft,2026-09-21T17:48:25Z
2Cor.7.12,G4710,earnestness,N-ASF,,M67,M67,608,draft,2026-09-18T03:32:09Z
2Cor.7.12,G4710,earnestness,N-ASF,D7.7.1,M67,M67,7599,draft,2026-09-21T17:48:26Z
2Cor.7.12,G4710,earnestness,N-ASF,D7.7.1,M67,M67,8034,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.5.10,M67,M67,230,draft,2026-09-17T16:26:59Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.5.11,M67,M67,8035,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.5.2,M67,M67,224,draft,2026-09-17T16:26:59Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.6.5,M67,M67,236,draft,2026-09-17T16:26:59Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.6.5,M67,M67,7600,draft,2026-09-21T17:48:26Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.6.5,M67,M67,8032,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.6.6,M67,M67,7601,draft,2026-09-21T17:48:26Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.6.6,M67,M67,8033,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.1,M67,M67,8036,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.10,M67,M67,8045,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.11,M67,M67,8046,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.12,M67,M67,8047,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.13,M67,M67,8048,draft,2026-09-21T18:10:46Z
2Cor.7.12,G4710,earnestness,N-ASF,M0.7.14,M67,M67,8049,draft,2026-09-21T18:10:46Z
