"strong","mounce_parsed","row_type"
"G3876","unwillingness to hear","lookup"
"G0085","to be troubled","lookup"
"G0085","distressed","lookup"
"G0318","necessity","lookup"
"G2346","(act.) to press upon","description"
"G2346","crowd up to","lookup"
"G2346","cause trouble","lookup"
"G2346","(passive) to be narrow","description"
"G2346","to be pressed","lookup"
"G2346","troubled","lookup"
"G2346","persecuted","lookup"
"G2669","(passive) to be oppressed","description"
"G2669","distressed oppress","lookup"
"G3076","(act.) to cause sorrow","description"
"G3076","grief","lookup"
"G3076","(passive) to be sorrowful","description"
"G3076","sad","lookup"
"G3076","distressed grieve","lookup"
"G4660","to bother","lookup"
"G4660","annoy","lookup"
"G4660","(passive) to be harassed","description"
"G4660","(middle) to trouble oneself","description"
"G4729","(passive) to be crushed","description"
"G4729","to withhold","lookup"
"G4729","be restricted press","lookup"
"G4912","to cover (ears)","lookup"
"G4912","to crowd (against)","lookup"
"G4912","to guard","lookup"
"G4912","hold in custody","lookup"
"G4912","to compel","lookup"
"G4912","urge on","lookup"
"G4912","(passive) to suffer","lookup"
"G4912","be distressed","lookup"
"G4912","to be devoted to","description"
"G8214","distressing","lookup"
"G0139","sect (religious party)","lookup"
"G0139","faction","lookup"
"G0139","heresy","lookup"
"G0141","divisive","lookup"
"G0592","to divide","lookup"
"G0592","separate","lookup"
"G0592","cause a division","lookup"
"G1267","division","lookup"
"G1370","division","lookup"
"G1370","dissension","lookup"
"G2183","(priestly) division","lookup"
"G2183","group","lookup"
"G2183","class","lookup"
"G3311","dividing","lookup"
"G3311","separation","lookup"
"G3311","distribution","lookup"
"G3311","apportionment division","lookup"
"G4978","tear","lookup"
"G4978","split","lookup"
"G4978","divide an object into parts","description"
"G4978","with an implication that the object is now damaged","description"
"G4978","by extension division","lookup"
"G4978","dissension","lookup"
