"strong","sense_label","gloss","note","row_type"
"G0218","I.4","prepare as if for gymnastics","metaphorically , , :— passive , τοὺς -ομένους ἐπί τι","lookup"
"G0218","I.4","encourage","metaphorically , , :— passive , τοὺς -ομένους ἐπί τι","lookup"
"G0218","I.4","stimulate","metaphorically , , :— passive , τοὺς -ομένους ἐπί τι","lookup"
"G0218","I.4","instigate","metaphorically , , :— passive , τοὺς -ομένους ἐπί τι","lookup"
"G0218","II","daub",", οὔατα ἀλεῖψαι ears,","lookup"
"G0218","II","plaster",", οὔατα ἀλεῖψαι ears,","lookup"
"G0218","II","besmear",", οὔατα ἀλεῖψαι ears,","lookup"
"G0218","II","stop up",", οὔατα ἀλεῖψαι ears,","lookup"
"G1472","headword","ἐγχρίω","[ῑ],","headword"
"G1472","I","anoint",", ἀλείμμασιν ἑαυτόν :— middle , , ἰξοῦ ; ἐ. τὸ πρόσωπον:— passive ,","lookup"
"G1472","I","anoint oneself",", ἀλείμμασιν ἑαυτόν :— middle , , ἰξοῦ ; ἐ. τὸ πρόσωπον:— passive ,","lookup"
"G1472","II","sting",", τινί — passive , ἰὸς ἐγχρισθείς poison ,","lookup"
"G1472","II","prick",", τινί — passive , ἰὸς ἐγχρισθείς poison ,","lookup"
"G1472","II","injected by a sting",", τινί — passive , ἰὸς ἐγχρισθείς poison ,","lookup"
"G1472","II.2","stick in",", τὸ κέντρον","lookup"
"G2025","headword","ἐπι-χρίω","[ῑ],","headword"
"G2025","I","anoint","ἐπιχρίοντες ἀλοιφῇ (i.e. τὸ τόξον) — middle , χρῶτ᾽ ἀπονίπτεσθαι καὶ ἐπιχρίεσθαι ἀλοιφῇ","lookup"
"G2025","I","besmear","ἐπιχρίοντες ἀλοιφῇ (i.e. τὸ τόξον) — middle , χρῶτ᾽ ἀπονίπτεσθαι καὶ ἐπιχρίεσθαι ἀλοιφῇ","lookup"
"G2025","I.2","plaster over","τινι with a thing,","lookup"
"G2025","II","lay on","ointment, μετὰ τὸ -χρισθῆναι ; κροτάφοις -χριόμενα variant in","lookup"
"G2025","II.2","use for anointing","absolutely ,","lookup"
"G3462","headword","μῠρίζω",",","headword"
"G3462","I","rub with ointment","or , :— middle , , :— passive , μεμυρις μένοι τὸ σῶμα 2.142a.","lookup"
"G3462","I","unguent","or , :— middle , , :— passive , μεμυρις μένοι τὸ σῶμα 2.142a.","lookup"
"G3462","I","anoint","or , :— middle , , :— passive , μεμυρις μένοι τὸ σῶμα 2.142a.","lookup"
"G3462","I","anoint oneself","or , :— middle , , :— passive , μεμυρις μένοι τὸ σῶμα 2.142a.","lookup"
"G3462","II","to be fragrant with","in passive also, μ. τινί ..,","lookup"
"G5545","headword","χρῖσμα","ατος, τό,","headword"
"G5545","I","","(χρίω) later form for χρῖμα (which see), found in codices of","lookup"
"G5545","II","anointing","","lookup"
"G5545","II","unction","","lookup"
"G5545","II.2","grace","in “NT” of spiritual χρῖσμα ἔχετε ἀπὸ τοῦ ἁγίου","lookup"
"G5545","III","coating","of wall,","lookup"
"G5545","III","plaster","of wall,","lookup"
"G5547","headword","χριστός",", ή, όν,","headword"
"G5547","I","to be rubbed on","(χρίω) or opposed to πιστός, ; τὸ ἔλαιον τὸ χ. oil,","lookup"
"G5547","I","used as ointment","(χρίω) or opposed to πιστός, ; τὸ ἔλαιον τὸ χ. oil,","lookup"
"G5547","I","salve","(χρίω) or opposed to πιστός, ; τὸ ἔλαιον τὸ χ. oil,","lookup"
"G5547","I","anointing","(χρίω) or opposed to πιστός, ; τὸ ἔλαιον τὸ χ. oil,","lookup"
"G5547","II","anointed","of persons, ὁ ἱερεύς ὁ χ.","lookup"
"G5547","II.2","","especially of the Kings of Israel, ὁ χ. Κυρίου; plural , of the patriarchs,","lookup"
"G5547","II.3","NT","in ὁ χ. the ; then used as proper name of Jesus, Ἰησοῦς χ.","lookup"
"G5547","II.3","Messiah","in ὁ χ. the ; then used as proper name of Jesus, Ἰησοῦς χ.","lookup"
"G5548","headword","χρίω",",","headword"
"G5548","I","touch the surface of a body slightly","Epic dialect imperfect χρῖον : future χρίσω : aorist ἔχρῑσα , Epic dialect χρῖσα : perfect κέχρῑκα :— middle , future χρίσομαι aorist participle χρῑσάμενος:— passive , future χρισθήσομαι : aorist ἐχρίσθην : perfect κέχρῑμαι pluperfect ἐκέχριστο false reading in ; 3rd.pers. plural ἐκέχριντο . [Even in present and imperfect ι is long, ; χρῐει only in late Poets, as future and all other tenses ῑ without exception, whence the proper accent. is χρῖσαι, κεχρῖσθαι, χρῖσμα, etc.:— especially of the human body, hence,","lookup"
