"strong","related_strong","related_form","related_transliteration","related_gloss","status"
"G0167","G2513","καθαρός","katharos","clean","ok"
"G0168","G0167","ἀκαθαρσία","akatharsia","impurity","ok"
"G0168","G0169","ἀκάθαρτος","akathartos","unclean","ok"
"G0168","G2511","καθαρίζω","katharizō","to clean","ok"
"G0168","G2512","καθαρισμός","katharismos","cleansing","ok"
"G0168","G2513","καθαρός","katharos","clean","ok"
"G0169","G0167","ἀκαθαρσία","akatharsia","impurity","ok"
"G0169","G0168","ἀκαθάρτης","akathartēs","uncleanness","ok"
"G0169","G2511","καθαρίζω","katharizō","to clean","ok"
"G0169","G2512","καθαρισμός","katharismos","cleansing","ok"
"G0169","G2513","καθαρός","katharos","clean","ok"
"G0172","G2556G","κακός","kakos","evil/harm: evil","ok"
"G0172","G2556H","κακός","kakos","evil/harm: harm","ok"
"G0176","G2607","καταγινώσκω","kataginōskō","to condemn","ok"
"G0181","G0182","ἀκατάστατος","akatastatos","restless","ok"
"G0185","","","","","ok"
"G0189","G0191","ἀκούω","akouō","to hear","ok"
"G0191","G0189","ἀκοή","akoē","hearing","ok"
"G0191","G1251","διακούω","diakouō","to give a hearing","ok"
"G0191","G1522","εἰσακούω","eisakouō","to listen to","ok"
"G0191","G1873","ἐπακούω","epakouō","to listen to","ok"
"G0191","G1874","ἐπακροάομαι","epakroaomai","to listen ro","ok"
"G0191","G3878","παρακούω","parakouō","to ignore","ok"
"G0191","G5219","ὑπακούω","hupakouō","to obey","ok"
"G0192","G0193","ἀκρατής","akratēs","intemperate","ok"
"G0192","G2904","κράτος","kratos","power","ok"
"G0193","G0192","ἀκρασία","akrasia","self-indulgence","ok"
"G0193","G2904","κράτος","kratos","power","ok"
"G0194","G2767","κεράννυμι","kerannumi","to mix","ok"
"G0198","G0196","ἀκριβέστατος","akribestatos","strictest","ok"
"G0212","G0213","ἀλαζών","alazōn","braggart","ok"
"G0213","G0212","ἀλαζονεία","alazoneia","boasting","ok"
"G0214","","","","","ok"
"G0218","G1813","ἐξαλείφω","exaleifō","to blot out","ok"
