"strong","strong_variant","sense_label","gloss","note","row_type"
"G4192","","I","work, hard work, toil, the toil of war, toil, struggle","(πένομαι) especially in mostly of μάχης π. the of battle, ; πόνος alone, ={μάχη},; πόνον ἔχειν, ={μάχεσθαι}, ; ἐν τούτῳ τῷ π. ὁ πολέμαρχος διαφθείρεται in this (at Marathon),","lookup"
"G4192","","I.2","toil, labour, toil, labour, trouble, labours","generally, ἐπεὶ παύσαντο πόνου ; π. ὀρνίθεσσι τιθείη cause to them, ; π. λαβόντας incurring ; μάταιος π. in vain, ; ἔχει πόνον πολύν involves much when the tackle in the sea,","lookup"
"G4192","","I.3","bodily exertion, exercise, exertions, the scene of, labours","of special kinds of labour, στρατιωτικοὶ π. ; of in the games, , etc.; γυμνάσια.., νεανιᾶν (probably) πόνον youthful","lookup"
"G4192","","I.4","work, task, business, enterprise, undertaking","ἐπεὶ π. ἄλλος ἔπειγεν ;","lookup"
"G4192","","I.5","implements for labour, stock-in-trade, workshop","οὗτος τοῖς ἁλιεῦσιν ὁ πᾶς πόνος ; καὶ πόνος ἐντὶ θάλασσα the sea is their","lookup"
"G4192","","II","stress, trouble, distress, suffering, trouble, sufferings, disease","; ἐν τούτῳ τῷ π., of a storm, ; ὁ Μηδικὸς [π.] the from the Medes, , etc.: in plural , ; πόνους πονεῖν ; also of κατέβαινεν ἐς τὰ στήθη ὁ π.","lookup"
"G4192","","II.2","pain","especially physical, δύο π. ἅμα γενομένων, μὴ κατὰ τὸν αὐτὸν τόπον, ὁ σφοδρότερος ἀμαυροῖ τὸν ἕτερον ; distinguished from λύπη (pain in general), ; but sometimes ={λύπη},","lookup"
"G4192","","III","anything produced by work, a work, fruits of, labour","μελισσᾶν τρητὸς π., of honey, ; ὁ ἐμὸς ὠδίνων π., of a child, ; so, πόνον ὀρταλίχων ὀλέσαντες, i.e. the nestlings, ; τοὺς ἡμετέρους π. the our","lookup"
"G4192","","IV","","Πόνος personified as son of Eris,","lookup"
"G4730","","headword","στενοχωρ-ία",",","headword"
"G4730","","I","narrowness of space, a confined space, want of room, the short space, remaining","Ionic dialect -ίη, ἡ, , ; , by sea or land, ; opposed to εὐρυχωρία and ἄνεσις, , compare 182b; σ. βίου of life ,","lookup"
"G4730","","II","straits, difficulty, difficulty of passing, distress, narrow limits","metaphorically , , ἡ σ. τοῦ ποταμοῦ the river, ; , ; ἡ τῆς πόλεως ; also, , probably in","lookup"
"G4730","","","στενυγροχωρίη",", ἡ,","lookup"
"G4730","","","στενυγρόω, contract","Ionic dialect for στενοχωρία, ; so , Ionic dialect for στενόω, ,","lookup"
"G4928","","headword","συνοχ-ή",", ἡ,","headword"
"G4928","","I","holding together, grasping in the hand","(συνέχω) , μηχανημάτων ; , ῥόας","lookup"
"G4928","","I.2","maintenance, control, maintenance",", σ. ἡ ἑαυτοῦ self ,","lookup"
"G4928","","II","a being held together","(συνέχομαι) ,","lookup"
"G4928","","II.1","contraction, contracts, a narrow part, narrows, straits",", ἐν ξυνοχῇσιν ὁδοῦ where the road , at of the road, ; ἁλὸς ἐν ξυνοχῇσιν in the or ,","lookup"
"G4928","","II.2","conflict","in battle, ἐνὶ ξυνοχῇσιν ἀγῶνος","lookup"
"G4928","","II.3","continuity, coherence, combination",", ; , σ. καὶ ἕνωσις τῶν μερῶν ; of elements,","lookup"
"G4928","","II.3.b","intension, connotation","or ,","lookup"
"G4928","","II.4","line of union, meeting-place, joining, clinging",", βλεφάρων ; ξ. χιτῶνος the of the tunic on the shoulder, ; ἡ κατὰ τὴν ἐσθῆτα σ. the of the garment to the body,","lookup"
"G4928","","II.5","distress, affliction, oppression, detention, imprisonment, going to bed","metaphorically , ; , ; , : but of in disease, ἀκίνδυνος ἔσται ἡ σ.","lookup"
"G4928","","II.6","trap, gin, snare",",","lookup"
"G0218","","headword","ἀλείφω",",","headword"
"G0218","","I","-ψω, -ψομαι, anoint the skin with oil, anointing for gymnastic exercises, anointing",": future , (ἐξ-) : aorist ἤλειψα, Attic dialect , Epic dialect ἄλειψα perfect ἀλήλῐφα (ἀπ-) :— middle , future aorist ἠλειψάμην Attic dialect , Epic dialect ἀλ- — passive , future ἀλειφθήσομαι (ἐξ-) : aorist 1 ἠλείφθην aorist 2 ἐξ-ηλίφην variant in , (ἀπ-) , (ἐξ-, ὑπ-) :— , as was done after bathing, active referring to another, middle to oneself, λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι: later of , λίπα μετὰ τοῦ γυμνάζεσθαι ἠλείψαντο; of the sick,","lookup"
"G0218","","I.2","supply oil, youths undergoing gymnastic training, to attend, gymnastic school","for gymnasts, ἀλειφούσης τῆς πόλεως ; ἀ. πανήγυριν, ἔθνη, ; οἱ -όμενοι , ; οἱ ἀ. ἐν τῷ γυμνασίῳ ; ἀλείφεσθαι παρά τινι a ,","lookup"
"G0218","","I.3","polish",", τράπεζαν","lookup"
"G0218","","I.4","prepare as if for gymnastics, encourage, stimulate, instigate","metaphorically , , :— passive , τοὺς -ομένους ἐπί τι","lookup"
"G0218","","II","daub, plaster, besmear, stop up",", οὔατα ἀλεῖψαι ears,","lookup"
"G1472","","headword","ἐγχρίω","[ῑ],","headword"
