"lemma_key","sort","sense_code","gloss","verse_refs","note","row_type"
"G0146","0","","greedy","1Ti.3.8; Tit.1.7","*","lookup"
"G0147","0","","for the sake of base gain","1Pe.5.2","*","description"
"G0147","0","","in greediness for money","1Pe.5.2","*","description"
"G0147","0","","greedily","1Pe.5.2","*","lookup"
"G0149","0","","deformed","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0149","0","","shameful","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0149","0","","indecent","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0149","0","","disgraceful","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0149","0","","dishonorable","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0149","0","","vile","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","0","","disgraceful","","","lookup"
"G0150","0","","shameful","","","lookup"
"G0150","1","","deformed","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","1","","shameful","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","1","","indecent","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","1","","disgraceful","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","1","","dishonorable","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0150","1","","vile","1Co.11.6; Eph.5.12; Tit.1.11","strictly, opposed to καλός ; metaphorically 14:35; * shameful","lookup"
"G0152","0","","shame","","","lookup"
"G0152","0","","disgrace","","","lookup"
"G0152","0","","shamefulness","","","lookup"
"G0152","0","","cause of shame","","","lookup"
