cluster,cluster_name,strongs,translit,language,n_keywords,self_check,keywords,suspect
M03,Grief,H3511,ke.ev,Hebrew,2,PASS,"pain; sorrow",
M03,Grief,H4157,mu.a.qah,Hebrew,3,PASS,"distress; compression; pressure",
M03,Grief,H4341,makh.ov,Hebrew,2,PASS,"pain; sorrow",
M03,Grief,H4470,me.mer,Hebrew,1,PASS,"bitterness",
M03,Grief,H4472,mam.ror,Hebrew,2,PASS,"bitterness; bitter",
M03,Grief,H4553,mis.ped,Hebrew,2,PASS,"mourning; wailing",
M03,Grief,H4620,ma.a.tse.vah,Hebrew,5,PASS,"torment; place; pain; grief; terror",
M03,Grief,H4689,ma.tsoq,Hebrew,5,PASS,"distress; straitness; straits; stress; anguish",
M03,Grief,H4691,me.tsu.qah,Hebrew,4,PASS,"distress; straitness; straits; stress",
M03,Grief,H4751,mar,Hebrew,11,PASS,"bitter; adj; bitterness; water; food; harlot's; end; wickedness; cry; pain; bitterly",
M03,Grief,H4786,mo.rah,Hebrew,2,PASS,"bitterness; grief",
M03,Grief,H4787,mor.rah,Hebrew,1,PASS,"bitterness",
M03,Grief,H4798,mar.ze.ach,Hebrew,4,PASS,"mourning; cry; joy; revelry",
M03,Grief,H4843,ma.rar,Hebrew,4,PASS,"provoke; bitter; strong; strengthen",
M03,Grief,H4844,ma.ror,Hebrew,3,PASS,"bitterness; bitter; herb",
M03,Grief,H5009,ne.a.qah,Hebrew,2,PASS,"groan; groaning",
M03,Grief,H5076,ne.dud,Hebrew,1,PASS,"tossing",
M03,Grief,H5100,ne.ha.mah,Hebrew,2,PASS,"groaning; growling",
M03,Grief,H5594,sa.phad,Hebrew,3,PASS,"mourn; wail; lament",
M03,Grief,H5999,a.mal,Hebrew,3,PASS,"trouble; toil; labour",
M03,Grief,H6088,a.tsav,Hebrew,2,PASS,"pain; grieve",
M03,Grief,H6089A,e.tsev,Hebrew,6,PASS,"toil; pain; hurt; sorrow; labour; hardship",
M03,Grief,H6090A,o.tsev,Hebrew,2,PASS,"pain; sorrow",
M03,Grief,H6093,its.tsa.von,Hebrew,5,PASS,"toil; pain; labour; hardship; sorrow",
M03,Grief,H6094,ats.tse.vet,Hebrew,5,PASS,"injury; pain; hurt; sorrow; wound",
M03,Grief,H6365,pid,Hebrew,3,PASS,"disaster; ruin; destruction",
M03,Grief,H6695A,tsoq,Hebrew,3,PASS,"distress; constraint; strait",
M03,Grief,H6695B,tsu.qah,Hebrew,3,PASS,"anguish; pressure; distress",
M03,Grief,H6735C,tsir,Hebrew,2,PASS,"pang; distress",
M03,Grief,H6862B,tsar,Hebrew,2,PASS,"distress; straits",
M03,Grief,H6869B,tsa.rah,Hebrew,3,PASS,"distress; straits; trouble",
M03,Grief,H7089,qe.pha.dah,Hebrew,2,PASS,"anguish; shuddering",
M03,Grief,H7451C,ra.ah,Hebrew,6,PASS,"distress; harm; evil; misery; injury; wrong",
M03,Grief,H7879,si.ach,Hebrew,3,PASS,"complaint; meditation; musing",
M03,Grief,H8386,ta.a.niy.yah,Hebrew,2,PASS,"mourning; grieving",
M03,Grief,H8424,tu.gah,Hebrew,3,PASS,"grief; heaviness; sorrow",
M04,Joy,G0020,agalliasis,Greek,5,PASS,"joy; delight; great; exultation; extreme",
M04,Joy,G0021,agalliao,Greek,14,PASS,"rejoice; filled; delight; great; joy; celebrate; praise; usually; middle; exult; exceedingly; fill; desire; ardently",
M04,Joy,G0701,arestos,Greek,6,PASS,"pleasing; desirable; right; acceptable; deemed; proper",
M04,Joy,G2106,eudokeō,Greek,8,PASS,"delight; well; pleased; think; approve; consent; take; pleasure",
M04,Joy,G2114,euthumeō,Greek,9,PASS,"cheerful; keep; courage; happy; cheerfultake; heart; good; spirits; take",
M04,Joy,G2167,eufrosune,Greek,4,PASS,"joy; gladness; cheerfulness; rejoicing",
M04,Joy,G2169,eucharistia,Greek,16,PASS,"thankfulness; expression; thanks; thanksgiving; gratitude; act; giving; conversation; marked; gentle; cheerfulness; grateful; heart; contrasted; unseemly; mirth",
M04,Joy,G2170,eucharistos,Greek,5,PASS,"thankful; grateful; pleasing; mindful; benefits",
M04,Joy,G2174,eupsucheō,Greek,6,PASS,"glad; cheerful; animated; encouraged; good; spirits",
M04,Joy,G2284,thambeō,Greek,5,PASS,"astonish; amazed; astoundedastonish; astonished; awestruck",astoundedastonish
M04,Joy,G2295,thauma,Greek,4,PASS,"marvel; wonder; astonishment; admiration",
M04,Joy,G2296,thaumazō,Greek,4,PASS,"marvel; wonder; amazed; greatly",
M04,Joy,G3108,makarismos,Greek,7,PASS,"blessedness; joy; happy; calling; act; pronouncing; self-congratulation",
M04,Joy,G3685,oninemi,Greek,7,PASS,"joy; benefit; optative; receive; profit; pleasure; genitive",
M04,Joy,G4796,sunchairo,Greek,5,PASS,"rejoice; sympathize; joy; advancement; congratulate",
M04,Joy,G4913,sunēdomai,Greek,8,PASS,"delight; agreement; pleased; along; others; congratulate; approve; cordially",
M04,Joy,G5463,chairo,Greek,13,PASS,"rejoice; glad; delighted; hail; greetings; joyful; full; joy; salutation; greet; epistolary; forth; health",
M04,Joy,G5479,chara,Greek,8,PASS,"joy; rejoicing; happiness; gladness; meton; cause; occasion; bliss",
M04,Joy,H1082,ba.lag,Hebrew,3,PASS,"cheerful; gleam; smile",
M04,Joy,H1523,gil_verb,Hebrew,3,PASS,"rejoice; exult; glad",
M04,Joy,H1524A,gil,Hebrew,1,PASS,"rejoicing",
M04,Joy,H1525,gi.lah,Hebrew,1,PASS,"rejoicing",
M04,Joy,H2302,cha.dah,Hebrew,1,PASS,"rejoice",
M04,Joy,H2304,ched.vah,Hebrew,2,PASS,"joy; gladness",
M04,Joy,H2305,ched.vah,Hebrew,1,PASS,"joy",
M04,Joy,H2531,che.med,Hebrew,5,PASS,"delight; desire; beauty; desirable; pleasant",
M04,Joy,H2654A,cha.phets,Hebrew,5,PASS,"delight; take; pleasure; desire; pleased",
M04,Joy,H2655,cha.phets,Hebrew,4,PASS,"delighting; delight; desiring; pleasure",
M04,Joy,H2656,che.phets,Hebrew,2,PASS,"pleasure; delight",
M04,Joy,H2868,te.ev,Hebrew,3,PASS,"good; glad; tav",
M04,Joy,H2896A,tov,Hebrew,19,PASS,"pleasant; adj; good; agreeable; excellent; rich; valuable; estimation; appropriate; becoming; better; glad; happy; prosperous; understanding; kind; benign; right; tav",
M04,Joy,H4010,mav.li.git,Hebrew,5,PASS,"cheer; smiling; cheerfulness; source; brightening",
M04,Joy,H4652,miph.la.ah,Hebrew,3,PASS,"wonder; wondrous; work",
M04,Joy,H4885,ma.s.vo.s,Hebrew,3,PASS,"rejoicing; exultation; joy",
M04,Joy,H5207,ni.cho.ach,Hebrew,3,PASS,"soothing; quieting; tranquillising",
