strongs_number,transliteration,language,owner_count,owner_registries
H5927K,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927L,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927M,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5929,a.leh,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5930A,o.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5930B,o.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5940,e.li,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5942,il.li,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5944,a.liy.yah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H6087B,a.tsav,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6089B,e.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6090B,o.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6092,a.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6414,pa.lil,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6416,pe.li.li,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6417,pe.li.liy.yah,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6696C,tsur,Hebrew,4,"5-anguish,51-distress,151-sorrow,187-strength"
H7067H,qan.na,Hebrew,4,"117-peace,56-envy,96-jealousy,181-zeal"
H7863,si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H7865,si.on,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H8063,se.mi.khah,Hebrew,4,"183-heart,97-joy,42-delight,132-rejoicing"
H8563,tam.rur,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H8585A,te.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H8585B,te.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
G0014,agathoergeō,Greek,3,"103-love,65-generosity,67-goodness"
G0015,agathopoieō,Greek,3,"103-love,65-generosity,67-goodness"
G0016,agathopoiia,Greek,3,"103-love,65-generosity,67-goodness"
G0017,agathopoios,Greek,3,"103-love,65-generosity,67-goodness"
G0276,ametathetos,Greek,3,"135-repentance,209-likeness,202-transformation"
G0303,ana,Greek,3,"51-distress,134-renewal,202-transformation"
G0329,anazōpureō,Greek,3,"56-envy,96-jealousy,181-zeal"
G0545,apeithēs,Greek,3,"163-trust,50-disobedience,165-unbelief"
G0573,haplous,Greek,3,"46-devotion,65-generosity,148-sincerity"
G0574,haplōs,Greek,3,"46-devotion,65-generosity,148-sincerity"
G0674,apopsuchō,Greek,3,"182-Soul,183-heart,184-spirit"
G0865,afilagathos,Greek,3,"103-love,65-generosity,67-goodness"
G0895,apsuchos,Greek,3,"182-Soul,183-heart,184-spirit"
G1629,ekfobeō,Greek,3,"61-fear,11-awe,138-reverence"
G1634,ekpsuchō,Greek,3,"182-Soul,183-heart,184-spirit"
G1771,ennoia,Greek,3,"160-thought,126-purpose,112-mind"
G1950,epilanthanō,Greek,3,"160-thought,126-purpose,112-mind"
G2172,euchomai,Greek,3,"212-pray,97-joy,122-prayer"
G2200,zestos,Greek,3,"56-envy,96-jealousy,181-zeal"
G2207,zēlōtēs,Greek,3,"56-envy,96-jealousy,181-zeal"
