strongNumber,stepGloss,stepTransliteration,language,count,stem_key
H5484,mare,su.sah,Hebrew,1,mare
H5563,blossom,se.ma.der,Hebrew,3,blos
H5638,winter,se.tav,Hebrew,4,wint
H6082,fawn,o.pher,Hebrew,5,fawn
H6170,bed,a.ru.gah,Hebrew,4,bed
H6247,plate,e.shet,Hebrew,1,plat
H6291,early fig,pag.gah,Hebrew,1,earl
H6646,gazelle,tse.viy.yah,Hebrew,2,gaze
H6677B,necklace,tsav.va.ron,Hebrew,1,neck
H6703,dazzling,tsach,Hebrew,4,dazz
H7367,washing,rach.tsah,Hebrew,2,wash
H7447A,drop,ra.sis,Hebrew,1,drop
H7840,blackish,she.char.chor,Hebrew,1,blac
H0217A,flame,ur,Hebrew,5,flam
H0217B,flame,u.rim,Hebrew,1,flam
H0489,widower,al.mon,Hebrew,1,wido
H0534,top,a.mir,Hebrew,2,top
H0626,collecting,a.se.phah,Hebrew,1,coll
H0688,carbuncle,eq.dach,Hebrew,1,carb
H0691,hero,er.el,Hebrew,1,hero
H0698,skill,a.re.bah,Hebrew,1,skil
H0766,fir,o.ren,Hebrew,1,fir
H0891,sour grapes,be.u.shim,Hebrew,2,sour
H0913,tin,be.dil,Hebrew,6,tin
H0975,watchtower,ba.chan,Hebrew,1,watc
H1070,young camel,be.kher,Hebrew,1,youn
H1155,unripe grape,bo.ser,Hebrew,4,unri
H1326,waste,ba.tah,Hebrew,1,wast
H1327,precipice,bat.tah,Hebrew,1,prec
H1357,locust,gev,Hebrew,1,locu
H1360,cistern,ge.ve,Hebrew,2,cist
H1549,tablet,gil.la.von,Hebrew,2,tabl
H1615,chalk,gir,Hebrew,1,chal
H1620,berry,gar.gar,Hebrew,1,berr
H1707,hump,dab.be.shet,Hebrew,1,hump
H1754B,ball,kad.dur,Hebrew,1,ball
H1771,fisher,day.yag,Hebrew,2,fish
H1852,curtain,doq,Hebrew,1,curt
H1943,misfortune,ho.vah,Hebrew,3,misf
H2003,brushwood,he.mes,Hebrew,1,brus
H2035,ruins,ha.ri.sut,Hebrew,1,ruin
H2150,tendril,zal.zal,Hebrew,1,tend
H2225,dawning,ze.rach,Hebrew,1,dawn
H2261,crocus,cha.vats.tse.let,Hebrew,2,croc
H2352,cavern,chur,Hebrew,2,cave
H2355,white cloth,cho.ra,Hebrew,1,whit
H2548,salted,cha.mits,Hebrew,1,salt
H2661,mole,cha.phor,Hebrew,1,mole
H2681,abode,cha.tsir,Hebrew,1,abod
H2721B,desolation,cho.rev,Hebrew,4,deso
H2842,chaff,cha.shash,Hebrew,2,chaf
H2922,lamb,te.la,Hebrew,1,lamb
H2925,captivity,tal.te.lah,Hebrew,1,capt
H3126,sapling,yo.neq,Hebrew,1,sapl
H3244,owl,yan.shuph,Hebrew,3,owl
H3539,ruby,kad.kod,Hebrew,2,ruby
H3587,branding,ki,Hebrew,1,bran
H3596,rogue,ki.lay,Hebrew,2,rogu
H3646,cummin,kam.mon,Hebrew,3,cumm
H3698,rye,kus.se.met,Hebrew,3,rye
H3753,dromedary,kir.ka.rah,Hebrew,1,drom
H3917,night-creature,li.lit,Hebrew,1,nigh
H3928,disciple,lim.mud,Hebrew,6,disc
H3980,fuel,ma.a.kho.let,Hebrew,2,fuel
