strongNumber,stepGloss,count,matched_clusters,matched_words
H7342I,broad: arrogant,2,M08,arrogant
H3350,burning,2,"M01,M02",burning
H4716,decay,2,M03,decay
H4955,burning,2,"M01,M02",burning
H5077B,to put away,2,M07,away
H5612I,scroll: read,2,"M37,T2",read
H7060,to decay,2,M03,decay
H8273,scorching,2,M02,scorching
H3538,false,1,M14,false
H6353,potter,1,FLAG,potter
H1401,mighty,1,"M23,T2",mighty
H2927,to have shade,1,M27,shade
H6562,to break,1,"FLAG,T2",break
H1678,bear,1,M23,bear
H3346,burning,1,"M01,M02",burning
H6387,half,1,M24,half
H8120,to minister,1,"M36,T2",minister
G1964,to break an oath,1,"FLAG,T2","break,oath"
G3945,to resemble,1,"M15,T2",resemble
G4885,to grow together,1,"FLAG,M23,T2","grow,together"
G5133,money lender,1,M28,money
G6064,household,1,"FLAG,T2",household
G1998,to run together,1,"FLAG,T2",together
G2775,to strike a head,1,M35,strike
G6046,to burden,1,M36,burden
G0063,to live outside,1,"M25,T2",live
G0879,to fall sleep,1,"M02,T2",fall
G1232,to report,1,"M22,M41",report
G1281,to gain in trade,1,M46,gain
G1669,to have/cause sores,1,"M07,M17,M26,M35",cause
G4093,little tablet,1,"M31,T2",little
G4321,to expend,1,"FLAG,T2",expend
G4940,to meet with,1,M37,meet
G4827,fellow disciple,1,M44,fellow
G0267,without witness,1,"M33,M34,T2","without,witness"
G0369,without objection,1,"M33,M34,T2",without
G0748,high-priestly,1,"M08,T2",high
G2417,temple robber,1,M27,temple
G3511,temple guard,1,"FLAG,M27,M30","guard,temple"
G3944,to pass by,1,FLAG,pass
G4031,in control of,1,M19,control
G4062,to drive insane,1,M16,insane
G4330,to permit,1,M11,permit
G4345,to join,1,M10,join
G4919,to break,1,"FLAG,T2",break
G5039,clear proof,1,M12,clear
G9315,to join in making an attack,1,M10,join
G2416,to despoil a temple,1,M27,temple
G2418,to minister,1,"M36,T2",minister
G4888,to glory with,1,M22,glory
G0077,free,1,M38,free
G2341,to fight beasts,1,M35,fight
G3134,"Come, Lord!",1,"M23,T2",lord
G3750,sense of smell,1,M15,sense
G0100,abundance,1,M46,abundance
G1550,to expend,1,"FLAG,T2",expend
G1981,to rest upon/dwell,1,"M33,T2","dwell,rest"
G2426,sufficiency,1,M15,sufficiency
G4943,to join in helping,1,M10,join
G5570,false apostle,1,M14,false
G0112,without God,1,"M33,M34,T2",without
G3823,struggle,1,M34,struggle
G4847,fellow citizen,1,"M44,T2","citizen,fellow"
G0170,to lack opportunity,1,FLAG,lack
G4853,fellow countryman,1,M44,fellow
G0405,slave-trader,1,"M36,M44",slave
G3443,to leave alone,1,M11,leave
G3580,to show hospitality,1,"M05,M21","hospitality,show"
G0035,without genealogy,1,"M33,M34,T2",without
G0119,struggle,1,M34,struggle
G2031,a word,1,M15,word
G4181,little by little,1,"M31,T2",little
G4187,in many ways,1,FLAG,many
G4520,Sabbath rest,1,M33,rest
G4901,to testify with,1,M13,testify
G1463,to clothe oneself,1,FLAG,oneself
G4850,fellow elder,1,M44,fellow
G5277,to leave behind,1,M11,leave
G0261,ignorant,1,M15,ignorant
G0990,a look,1,"M18,M30,T2",look
G1306,to shine through,1,T2,shine
G4500,with a roar,1,M42,roar
G5077,to turn to ashes,1,"M30,T2","ashes,turn"
G5572,false teacher,1,M14,false
G1363,to double,1,"M20,T2",double
G2256,half an hour,1,M24,half
H2056,child,1,M05,child
H6626,to break,1,"FLAG,T2",break
H4229B,to strike,1,M35,strike
H6781B,cover,1,M38,cover
H8228,abundance,1,M46,abundance
H1574,short cubit,1,"FLAG,T2",short
H1640,to sweep away,1,M07,away
H4857,well,1,M33,well
H6544A,to lead,1,M23,lead
H6852,to depart,1,M30,depart
H2512,smooth,1,"FLAG,M14",smooth
H8670,present,1,M15,present
H3014,to thrust away,1,M07,away
H7734,to turn back,1,"M30,T2","back,turn"
H2835,little flock,1,"M31,T2",little
H5438,turn,1,M30,turn
H5252,turn,1,M30,turn
H5256,to pull away,1,M07,away
H5261,drink offering,1,"M10,T2",offering
H5412,temple servant,1,M27,temple
H5446,to bear,1,M23,bear
H5928,burnt offering,1,"M10,T2",offering
H6568,to make clear,1,M12,clear
H6841,male goat,1,"FLAG,T2","goat,male"
H7761I,to set: appoint,1,FLAG,appoint
H3054,to become a Jew,1,M30,become
H2959,to burden,1,M36,burden
H3022,toil,1,M03,toil
H3886B,to talk wildly,1,M14,talk
H4512,gain,1,M46,gain
H5420,to break,1,"FLAG,T2",break
H5607B,sufficiency,1,M15,sufficiency
H5848A,to turn aside,1,M30,"aside,turn"
H0047J,mighty: angel,1,"M23,T2",mighty
H0482,silence,1,M33,silence
H1102,to hold in,1,M23,hold
H2683,bosom,1,M05,bosom
H4269,muzzle,1,M07,muzzle
H4480B,portion,1,"FLAG,T2",portion
H6451,abundance,1,M46,abundance
H6867A,burning,1,"M01,M02",burning
H1713A,to look,1,"M18,M30,T2",look
H0541,to turn right,1,"M13,M30","right,turn"
H1971,look,1,"M18,M30,T2",look
H2123B,abundance,1,M46,abundance
H2511,smooth,1,"FLAG,M14",smooth
H2541,oppression,1,M24,oppression
H3261,to sweep away,1,M07,away
H4625,crooked place,1,"M14,T2","crooked,place"
H5432,to drive away,1,M07,away
H6417,judgment,1,"FLAG,M26,T2",judgment
H7735,to grow,1,"M23,T2",grow
H8456,to strike away,1,"M07,M35","away,strike"
H8613,burning-place,1,"M01,M02,T2","burning,place"
H6283,abundance,1,M46,abundance
H7224,first,1,"M08,T2",first
H2100I,to flow: waste away,1,M07,away
H5792,oppression,1,M24,oppression
H6836,watch,1,M06,watch
H0839,pine,1,M24,pine
H1822,destroyed,1,"M01,M27",destroyed
H3068H,The Lord,1,"M23,T2",lord
H6219,smooth,1,"FLAG,M14",smooth
H8338,to lead,1,M23,lead
H4118A,quick,1,M02,quick
H7213,to rise,1,M08,rise
G3363,lest/so that... not,0,T2,lest
G2547,and from there,0,T2,there
