"strong","strong_variant","mounce_parsed","row_type"
"G0571","","unbelieving, lacking in trust, doubting; as a noun: an unbeliever or outsider, one who does not believe the Gospel","description"
"G0639","","to be puzzled, at a loss, in wonder","description"
"G1280","","to be perplexed, puzzled, in wonder","description"
"G1365","","to doubt","lookup"
"G3349","","to worry about, be anxious","description"
"G3843","","surely, certainly, by all possible means, quite","description"
"G3874","","encouragement, comfort, consolation, appeal","description"
"G3875","","counselor, counsellor","lookup"
"G3888","","to comfort, encourage, console","description"
"G3889","","comfort, consolation","lookup"
"G3890","","comfort, consolation, encouragement","lookup"
"G3931","","comfort","lookup"
"G8618","","comforting","lookup"
"G8619","","a comforter","lookup"
"G3552","","to be unhealthy, ill sick","description"
"G7114","","craving","lookup"
"G8013","","to crave for strange food","description"
"G1757","","(passive) to be blessed","description"
"G3106","","to call blessed; to consider blessed bless","description"
"G3107","","blessed (receiving God’s favor)","description"
"G3108","","blessedness, joy","lookup"
"G5486","","gracious gift; see also G5485","description"
"G5487","","to give graciously, to show acts of kindness by freely giving; (n.) one highly favored; see also G5485 favor","description"
"G6050","","to bless","lookup"
"G8231","","most blessed","lookup"
"G0746","","beginning, origin, first; ruler, power, authority; position of authority, domain","description"
"G1414","","to be able, powerful, strong","description"
"G1415","","possible (based on power); powerful, able, the Mighty One","description"
"G1753","","working, power, energy","lookup"
"G1756","","evident","lookup"
"G1850","","to have power over; (passive) to be mastered","description"
"G2739","","(act.) to scorch, burn; (passive) to be scorched, seared","description"
"G2888","","(plural) powers of the world","description"
"G3175","","great man, prince, high official","description"
"G6975","","be in power","lookup"
"G7027","","to have power over","description"
"G8156","","power of speech","lookup"
"G0747","","author, originator, founder; leader, ruler","description"
"G0758","","ruler, leader, official","lookup"
"G0831","","to have authority over","description"
"G0922","","burden, weight; this can refer either to difficulty or importance","description"
"G1291","","(middle) to give orders, command, authorize; (passive) what was commanded","description"
"G1299","","(active/middle) to command, order, direct; (passive) to be required, ordered, put into effect","description"
"G1413","","ruler, sovereign, (court) official","description"
"G2003","","command, order; authority","lookup"
"G2715","","to exercise authority over rule","description"
"G2963","","authority, dominion, power, lordship","description"
"G4173","","city official, formally, ""politarch"" magistrate","description"
"G5242","","to govern, have authority; to be better than, transcend; (n.) surpassing greatness higher","description"
"G5247","","authority, superiority","lookup"
"G0932","","kingdom, kingship, royal rule","description"
"G2634","","to lord it over, gain dominion over, master","description"
"G2961","","to lord over, be master of, have authority over, one who rules or exercises authority; note in some contexts there is an implication that the authority exercised is harsh","description"
"G1504","","image, likeness, portrait","lookup"
"G5480","","mark, stamp; image, idol","description"
"G5481","","exact representation, reproduction","lookup"
"G3339","","(passive) to be transformed, transfigured, changed in form transform","description"
"G3345","","(act.) to transform, change (the form); (middle) to masquerade, disguise (oneself)","description"
"G5122","","named","lookup"
"G3576","","slow to learn; lazy, sluggish","description"
"G3636","","lazy, idle, not active; troublesome","description"
"G8474","","slothful","lookup"
"G0871","","(passive) to be like, similar","description"
"G1482","","- national (""ethnic""), i.e. (specially) a Gentile","description"
"G1483","","like a Gentile, -like a pagan","description"
"G21422","","such-like","lookup"
"G2465","","like an angel angelic","description"
"G3663","","like, of the same quality or kind of desires","description"
"G3664","","- similar (in appearance or character)","description"
"G3665","","similarity, likeness","lookup"
"G3667","","likeness; looking like, image; form, appearance","description"
"G3669","","likeness","lookup"
"G3946","","like, similar","lookup"
"G4833","","(passive) to becomemake like, be conformed to","description"
"G5616","","like, as; about (an approximation)","description"
"G6530","","a lion-like person","lookup"
"G7813","","nut-like","lookup"
"G8159","","like a covered chariot","description"
"G0581","","to die","lookup"
"G0599","","to die (in a literal or figuratively sense); to be about to die, be mortal","description"
"G2253","","half dead","lookup"
"G2288","","death","lookup"
"G2289","","to put to death, kill","description"
"G2348","","(perfect) to have died, be deaddie","description"
"G2837","","(passive) to fall asleep, sleep; die","description"
"G2966","","dead body, corpse","lookup"
"G3498","","dead (can be used physically or figuratively, of both persons and things); (n.) dead person, corpse","description"
"G3499","","(act.) to put to death; (passive) to be as good as dead kill","description"
"G3500","","death, deadness","lookup"
"G4430","","dead body, carcass, corpse","description"
"G5053","","to die","lookup"
"G0069","","to keep awake, keep alert","description"
"G0101","","to be impossible","lookup"
"G0120","","to be discouraged, lose heart","description"
"G0198","","to find out exactly","description"
"G0416","","to be moved by the wind","description"
"G0433","","to be fitting, proper; to do one’s duty","description"
"G0445","","to be proconsul","lookup"
"G0480","","to be an opponent, in conflict","description"
"G0548","","- to be away","lookup"
"G0566","","to receive (in full); to be distant; (middle) to abstain, avoid","description"
"G0567","","refrain-","lookup"
"G0568","G","to be distant","lookup"
"G0691","","to be idle, grow weary","description"
"G0757","","- to be first (in political rank or power)","description"
"G0764","","to do ungodly acts, act impiously","description"
"G0790","","to be homeless, a vagabond","description"
"G0812","","to be idle, lazy","description"
"G0992","","must be put","lookup"
"G1073","","to be full","lookup"
"G1096","","to be, become, happen; to come into existence, be born. It is used in certain contexts to introduce a new section or paragraph in a narrative in Hebrew narrative style: and then, and it came to pass","description"
"G1130","","to be naked","lookup"
"G1139","","to be demon-possessed","lookup"
"G1163","","it is a must, it is necessary (one should, ought)","description"
"G1259","","to become reconciled","lookup"
"G1278","","to be greatly disturbed, troubled, annoyed vexed","description"
"G1282","","(passive) to be furious","description"
"G1316","","(passive) to be separated","description"
"G1410","","to be able","lookup"
"G1480","","(passive) to be accustomed, required","description"
"G1510","","- I exist (used only when emphatic)","description"
"G1553","","to be away, absent","description"
"G1572","","(passive) to be inflamed, have a strong desire burn","description"
"G1605","","(passive) to be amazed, astonished","description"
"G1693","","to be enraged","lookup"
"G1735","","it is possible","lookup"
"G1736","","to be at home","description"
"G1740","","to be glorified, honored","description"
"G1751","","to be inside; contents","description"
"G1754","","to be at work in; to produce active","description"
"G1764","","to be present, (ptcp.) the present","description"
"G1789","","(passive) to be brought up, reared, trained","description"
"G1832","","it is legal, it is proper, it is permitted","description"
"G1870","","to be ashamed of","description"
"G1902","","to be clothed with","description"
"G1952","","to not have (time); to fail to have","description"
"G20125","","to be deprived of children","description"
"G2077","","- be thou","lookup"
"G21401","","be inundated","lookup"
"G2141","","to have (financial) ability, have plenty, be well off","description"
"G21410","","be white","lookup"
"G2164","","to produce a good crop, be fruitful","description"
"G2192","","(tr.) to have, hold, keep; (intr.) to be","description"
"G2204","","to have great fervor, as a figurative extension something boiling or seething, not found in the NT be fervent","description"
"G2240","","to come, to have come, be present","description"
"G2274","","to be lesser","lookup"
"G2277","","- let him (or it) be","description"
"G2450","","to be Jewish","lookup"
"G2468","","- be thou","lookup"
"G2520","","to be fitting; (pcpl.) things that ought to be, that are proper","description"
"G2577","H",": ill","lookup"
"G2577","H","to grow weary; be sick","description"
"G2686","","to deal craftily, to be cunning","description"
"G2693","","(passive) to be scattered prostrate","description"
"G2749","","to lay, lie, be laid, laid out; be destined, appointed","description"
"G2793","","to be in danger","description"
"G2865","","(act.) to bring; (middle) to receive (what is due), reward, be repaid","description"
"G2929","","to be clear as crystal","description"
"G2990","","to keep secret, escape notice, be hidden","description"
"G3195","","to be about to, on the point of; to be destined, must; to intend to; (what is) to come, the future","description"
"G3322","","to be in the middle","description"
"G3467","","to be nearsighted","lookup"
"G3489","","to be shipwrecked, have a shipwreck","description"
"G3515","","to be (like) a child childlike","description"
"G3873","","to be present, ready","description"
"G3909","","to happen to be there","description"
"G3918","","to be present, here; to have come","description"
"G3939","","to live asbe a stranger, visit; to migrate","description"
"G4020","","to be a busybody","description"
"G4104","","(passive) to be convinced of convince","description"
"G4176","","to fulfill one’s duty; to conduct oneself, lead one’s life be a citizen","description"
"G4241","","to be proper, appropriate, fitting","description"
"G4243","","to be an ambassador","description"
"G4360","","to be angry, provoked","description"
"G4391","","to exist be formerly","description"
"G4409","","to be supreme, first, have first place","description"
"G4433","","to be or become poor","description"
"G4445","","to burn with a feverbe feverish","description"
"G4449","","to be red, the color of fire","description"
"G4583","","(passive) to have a seizure to be epileptic","description"
"G4659","","to look be sad","description"
"G4704","","to be eager, make every effort, do one’s best","description"
"G4768","","to be gloomy","lookup"
"G4840","","to be present with","description"
"G4851","","to bring together; to be helpful, be gained; (n.) common good; (imper. verb) it is good, better, beneficial","description"
"G4895","","- to be in company with, i.e. present at the time","description"
"G4916","","(passive) to be buried with bury","description"
"G4925","","(passive) to be built up together","description"
"G4927","","to be next door to adjacent","description"
"G5075","","to be a tetrarch","description"
"G5198","","to be healthy, sound","description"
"G5225","","- to begin under (quietly), i.e. come into existence (be present or at hand); expletively, to exist (as copula or subordinate to an adjective, participle, adverb or preposition, or as an auxiliary to a principal (verb)","description"
"G5229","","to become conceited, exalt oneself be haughty","description"
"G5252","","to think too highly of oneself be haughty","description"
"G5309","","to be arrogant, proud","description"
"G5431","","to be careful, concerned","description"
"G5492","","(passive) to be batteredbatter in a storm","description"
"G5520","","to be angry","lookup"
"G5534","","it should, it is necessary","description"
"G5600","","- = (may, might, can, could, would, should, must, etc.; also with G1487 and its comparative, as well as with other particles) be","description"
"G5605","","to suffer the pains of childbirth be in labor","description"
"G5607","","- = being","lookup"
"G6023","","to lose heart, become discouraged","description"
"G6028","","to be greatly amazed","description"
"G6081","","to fall in, collapse; be downcast","description"
"G6083","","to be conscious of, know","description"
"G6108","","be better; do good","description"
"G6124","","be wild","lookup"
"G6131","","to act as next of kin; be disinherited","description"
"G6141","","be despised","lookup"
"G6185","","be discouraged","lookup"
"G6215","","be a runaway","lookup"
"G6297","","be fatigued","lookup"
"G6300","","be effronted; to have a look of effrontery","description"
"G6306","","not be turned away","description"
"G6441","","be without a turban","description"
"G6452","","be mute; become deaf","description"
"G6461","","to be estranged","lookup"
"G6542","","be ill; infirm","lookup"
"G6589","","be barren; childless","lookup"
"G6596","","to be unfortunate, be in adversity","description"
"G6629","","be unwise","lookup"
"G6656","","be weighed down","lookup"
"G6772","","be naked","lookup"
"G6802","","be master","lookup"
"G6804","","be second","lookup"
"G6893","","be overawed; divert","lookup"
"G6948","","be cloven","lookup"
"G7025","","be angry","lookup"
"G7140","","be torn from","lookup"
"G7223","","to stand as adversary; slander","description"
"G7235","","be pleased with","lookup"
"G7255","","be related","lookup"
"G7301","","be enough","lookup"
"G7303","","be attached to","lookup"
"G7376","","be used","lookup"
"G7405","","be lenient","lookup"
"G7428","","be possessed","lookup"
"G7435","","be welcomed as a guest","description"
"G7518","","be late","lookup"
"G7533","","be approved","lookup"
"G7565","","be moldy","lookup"
"G7567","","be stable","lookup"
"G7576","","be fragrant","lookup"
"G7589","","be an enemy","lookup"
"G7618","","be esteemed","lookup"
"G7619","","be delicious; delight","lookup"
"G7635","","be calm","lookup"
"G7752","","be clean","lookup"
"G7767","","be late","lookup"
"G7973","","be arrogant","lookup"
"G7994","","being easily led on","description"
"G8083","","be dizzy from wine","description"
"G8128","","be with child","lookup"
"G8146","","be silent","lookup"
"G8147","","be mute","lookup"
"G8186","","be white","lookup"
"G8199","","be famished","lookup"
"G8229","","be irresistibly led","lookup"
"G8242","","be infirm","lookup"
"G8320","","be infuriated; cherish wrath","description"
"G8363","","be troubled with warts","description"
"G8376","","be paralyzed","lookup"
"G8422","","be yellowish","lookup"
"G8463","","be drunk with wine","description"
"G8466","","be drunk with wine","description"
"G8468","","be undone; set out","description"
"G8513","","be sour","lookup"
"G8546","","be straight up","lookup"
"G8642","","be a bodyguard; run along","description"
"G8658","","be in heat","lookup"
"G8687","","be darkened","lookup"
"G8694","","be in need","lookup"
"G8721","","be an advantage","lookup"
"G8825","","be carried by wind","description"
"G8854","","be numerous","lookup"
"G8898","","be first to take","description"
"G8926","","be burnt through","lookup"
"G8963","","be seated first","lookup"
"G8997","","be reddish","lookup"
"G0189","","(act of) hearing, what is heard","description"
"G1522","","(passive) to be heard, listened to hear","description"
"G1801","","to listen carefully, pay attention to","description"
"G1873","","to hear, listen to","description"
"G1874","","to listen to","lookup"
"G3878","","to refuse to listen, ignore","description"
"G6354","","to listen in turn","description"
"G7214","","to listen to attentively","description"
"G2142","","riches","lookup"
"G2933","","wealth, possessions; piece of property, field possession","description"
"G3126","","wealth, assets","lookup"
"G4149","","riches, wealth","lookup"
"G5094","","wealth","lookup"
"G5536","","money, wealth, possessions","lookup"
"G0415","","ruthless, merciless","lookup"
"G0786","","unforgiving, not reconcilable","lookup"
"G2983","","to take, receive; (passive) to be received, selected","description"
"G6103","","incurable","lookup"
"G6345","","incurable; irretrievable","lookup"
"G7474","","incurring ridicule","lookup"
"G0331","","curse, oath; one cursed","description"
"G0332","","to bind with an oath","description"
"G0685","","curse","lookup"
"G1944","","cursed","lookup"
"G2616","","(act.) to exploit, oppress","description"
"G2652","","curse","lookup"
"G2653","","to curse","lookup"
"G2671","","curse, imprecation","lookup"
"G2672","","(middle) to curse","lookup"
"G6522","","to curse; oath, to make an","description"
"G7906","","a curse","lookup"
"G4992","","bringing salvation, saving, delivering","description"
"G0060","","marketplace, place where the courts meet","description"
"G0832","","to play the flute","description"
"G0835","","to spend the night, find lodging","description"
"G1005","","the north","lookup"
"G1037","","open sea, the deep","description"
"G1206","","on the following next day, on the second day","description"
"G1273","","to spend the (entire) night","description"
"G1359","","the twin gods Castor and Pollux, the Dioscuri, ""sons of Zeus""","description"
"G1887","","the next day, tomorrow","description"
"G1888","","in the act","lookup"
"G2789","","to play the harp or lyre","description"
"G2960","","pertaining to the Lord, the Lord’s","description"
"G3303","","often untranslated; used with other particles to show contrast: on the one hand, one...or the other","description"
"G3547","","teacher of the law","description"
"G3588","","(often not translated) the, this, that, who","description"
"G3673","","of the same trade","description"
"G3832","","with one’s whole family","description"
"G3891","","to violate the law, act contrary to the law","description"
"G4311","","to accompany, escort; to send on one’s way, help on one’s journey","description"
"G4954","","co-member of a body","description"
"G5284","","to sail to the lee of, to move to the side that offers protection or shelter","description"
"G5476","","to the ground, on the ground","description"
"G5496","","to lead by the hand","description"
"G7680","","affliction","lookup"
"G7983","","to afflict grievously","lookup"
"G3835","","crafty, clever, sly","lookup"
"G6063","","to know, understand, perceive","description"
"G4982","","to save","lookup"
"G5456","G",": voice","lookup"
"G5456","G","voice, sound, tone, noise of any kind; by extension: speaking, language","description"
"G4336","","to pray","lookup"
"G5185","","blind; (n.) blind person","description"
"G1344","","to justify, vindicate, declare righteous, to put someone in a proper relationship with another, usually referring to God’s relationship to humankind, implying a proper legal or moral relationship","description"
"G4434","","poor; (n.) poor, beggar, a person of few resources, culturally considered oppressed, despised, and miserable. ""The poor in spirit"" are not lacking in spirit, but have the positive moral quality of humility, realizing they have nothing to offer God but are in need of his free gifts","description"
"G2323","","to serve, to give help, take care of another; by extension: to heal, cure; (passive) to be healed","description"
"G3404","","to hate; (passive) to be hated, detestable","description"
"G1247","","to serve, wait on, help, attend to; this often refers to spiritual and practical ministry in the Church. ""To wait upon tables"" (Act.6:2) may mean to literally help in serving food, though some believe it refers (also) to the handling of finances","description"
"G5316","","(act.) to shine, give light; (middle/passive); to appear, be visible;","description"
"G1189","","to pray; ask, beg, plead","description"
"G4680","","wise; expert, skilled; (n.) a person who is skilled or expert, often as a class or kind, a wise man or woman","description"
"G4506","","to rescue, deliver","lookup"
"G0700","","to please, accommodate","lookup"
"G5013","","(act.) to humble (oneself), lower (oneself); (passive) to be humbled, brought low, in need","description"
"G0094","","unjust judge","lookup"
"G3983","","to be hungryhunger","lookup"
"G4204","","prostitute, a woman who practices sexual immorality for payment; this can refer to religious unfaithfulness","description"
"G3042","","hunger, famine, starvation","lookup"
"G2675","","to restore, put in order, mend; to make complete, equip, train; to prepare, ordain","description"
"G5574","","to lie","lookup"
"G1929","","to give, deliver, hand over to","description"
"G1345","","regulation, requirement, commandment;righteous act of righteousness","description"
"G2005","","to finish, complete, end; to perfect, attain a goal; (middle) to undergo","description"
"G2706","","to despise, look down on, scorn, show contempt","description"
"G4205","","one who is sexually immoral (male or female), in some contexts distinguished from an adulterer (1Co 6:9)sexual sinner","description"
"G5579","","lie, falsehood, deception","lookup"
"G3679","","to heap insults on, denounce, find fault, rebuke revile","description"
"G1110","","acquainted with, known to","description"
"G0483","","- to dispute, refuse","lookup"
"G1702","","to mock, ridicule","lookup"
"G4537","","to sound a trumpet","description"
"G0048","","to purify, ceremonially cleanse","description"
"G3431","","(act.) to commit adultery; (passive) to become an adulterer","description"
"G1295","","save, spare, bring safely through a dangerous or distressing situation, with a focus that the rescue is complete or full; to heal, with a focus that the injured or sick person goes from the danger of ill health to the safety of a completely restored or healthy life","description"
"G3170","","to glorify, regard highly, praise, exalt; to lengthen, expand magnify","description"
"G0299","","unblemished, blameless","lookup"
"G1818","","to deceive, cheat","lookup"
"G4267","","to know beforehand, foreknow; (middle) to choose beforehand","description"
"G5244","","exceedingly, beyond measure; (with G0652) super-apostles","description"
"G5287","","confidence, trust, being sure; being, essence","description"
"G3027","","robber, bandit; rebel, revolutionary; this word is derived from the Greek verb, ""to practice robbery or piracy,"" not found in the NT","description"
"G2906","","crying out, shouting, verbal brawling","description"
"G0103","","to sing","lookup"
"G4731","","solid, strong; standing firm, steadfast","description"
"G0273","","blameless, faultless","lookup"
"G2989","","to shine","lookup"
"G1611","","amazement, astonishment, bewilderment; a tranceecstasy","description"
"G5014","","humbleness, lowliness, humiliation","lookup"
"G1590","","(passive) to faint","lookup"
"G3680","","disgrace, insultreproach","lookup"
"G2827","","to bow down, lay down; to be over (late in the day)","description"
"G4931","","to finish","lookup"
"G1476","","firm, steadfast","lookup"
"G5186","","to cause blindness, deprive of sightblind","description"
"G1185","","to entice, seduce, lure","description"
"G2360","","(passive) to be alarmed, disturbed alarm","description"
"G3164","","to fight, quarrel, argue","description"
"G4820","","to dispute with; to confer with, meet with; to ponder; to engage in (war); (middle) to help, assist","description"
"G1805","","(act.) to redeem, as a figurative extension of the act of purchasing something in the marketplace; (middle) to make the most (of the time)","description"
"G3833","","full armor, worn by a heavily armed soldier","description"
"G2100","","to please","lookup"
"G0283","","pure","lookup"
"G1055","","calm","lookup"
"G5353","","voice, sound; note, musical tone","description"
"G3058","","to insult, curse","lookup"
"G3648","","whole, complete","lookup"
"G5197","","insolent man, violent man","description"
"G0587","","pleasing, pleasant","lookup"
"G0146","","pursuing dishonest gain","lookup"
"G2358","","to lead in a triumphal procession triumph","description"
"G2042","","to stir up, provoke, arouse; embitter, provoke, irritate","description"
"G2692","","ruin, destruction","lookup"
"G2271","","quietness, silence; settling down, lack of disturbance","description"
"G5256","","to serve, care for needs","description"
"G2019","","to shout, cry out loudly","description"
"G1165","","to expose to public disgrace; to make a spectacle of","description"
"G4101","","pure","lookup"
"G2905","","to shout, cry out","description"
"G1879","","to rest on, rely on","description"
"G0573","","good; same as {606}","lookup"
"G3084","","to redeem, free a slave by paying a ransom; from the base meaning of slave redemption in the marketplace comes the figure of sinners redeemed by God from slavery to sin and death","description"
"G3388","","womb","lookup"
"G3083","","ransom, the price of release, thus making redemption possible","description"
"G1881","","to rebel against, rise up (in rebellion)","description"
"G3430","","(the state or condition of) adultery","description"
"G0603","","eager expectation","lookup"
"G4866","","to contend at one’s side, together","description"
"G2578","","to bend, bow (on a knee)","description"
"G5005","","wretched, miserable","lookup"
"G1347","","justification","lookup"
"G0214","","to clang, wail","lookup"
"G4332","","to serve, wait upon","description"
"G0362","","to wait for, expect","description"
"G0642","","to make an orphan of","description"
"G5573","","false of speech; (n.) liarlying","description"
"G3055","","quarrel about words","lookup"
"G0983","","harmful","lookup"
"G1999","","insurrection","lookup"
"G5450","","arrogance, pride","lookup"
"G2431","","cheerful, without grudging, with an implication of a gracious attitude; note that the transliteration ""hilarious"" does not communicate the meaning of this attitude","description"
"G3993","","poor","lookup"
"G0298","","blameless, unblemished","lookup"
"G3054","","to quarrel about words bicker","description"
"G3718","","to handle correctly, guide on a straight path","description"
"G2371","","to quarrel, be fighting mad","description"
"G1618","","deep, earnest","lookup"
"G1264","","to argue vigorously, contend sharply","description"
"G2467","","- to know","lookup"
"G2279","","sound, tone, blast (of a trumpet); news, report","description"
"G0972","","violent, strong","lookup"
"G5433","","to rage, rave","lookup"
"G3086","","deliverer, redeemer","lookup"
"G0699","","pleasing, striving to please","description"
"G3437","","complaint","lookup"
"G2170","","thankful (in word and attitude)","description"
"G2017","","to shine on","lookup"
"G4343","","perseverance, patience","lookup"
"G4292","","(middle) to provoke, challenge","description"
"G1561","","expectation","lookup"
"G3643","","to make light of, despise","description"
"G5226","","to submit, yield","lookup"
"G3893","","to rebel, disobey","lookup"
"G0540","","fatherless","lookup"
"G0658","","to bring to completion; (passive) to be full-grown, mature, completed","description"
"G3737","","(n.) an orphan","lookup"
"G4380","","to show favoritism, partiality favor","description"
"G5003","","to grieve, lament","lookup"
"G3649","","to wail, cry out","description"
"G1864","","to contend, fight","lookup"
"G0674","","to faint (some translate ""to die"")","description"
"G4034","","to shine around, blaze around","description"
"G2630","","to throw down a cliff cast","description"
"G0143","","to grasp, understand, to have the capacity to perceive something clearly","description"
"G4305","","to worry or be anxious beforehand","description"
"G6006","","to cast, to cast a net","description"
"G0389","","to sigh deeply","lookup"
"G4744","","to dazzle, be radiant","description"
"G1584","","to shine","lookup"
"G2754","","vain conceit, empty conceit, a state of pride that has no proper basis","description"
"G2679","","(act.) to tear down; (passive) to be ruined ruin","description"
"G2529","","(passive) to be clearly seen, perceived perceive","description"
"G4938","","ruin, destruction","lookup"
"G5582","","falsehood, untruth","lookup"
"G4065","","to despise, look down on","description"
"G5011","","humble, lowly, downcast, timid","description"
"G0036","","lowly, insignificant, implying low social standing","description"
"G2317","","worship of God, reverence for Goddevoutness","description"
"G2659","","stupor, bewilderment, unable to think","description"
"G3805","","subject to suffering","lookup"
"G2552","","suffering","lookup"
"G0655","","to hate, abhor, loathe","description"
"G4964","","(middle) to conform","lookup"
"G4654","","to darken","lookup"
"G4656","","(passive) to be or become darkeneddarken","description"
"G4257","","to hear about beforehand","description"
"G2172","","to pray for; wish for","description"
"G4310","","to suffer previously","lookup"
"G4841","","to suffer with, share in suffering","description"
"G4777","","to suffer together with, endure hardship with","description"
