"strong","strong_variant","mounce_parsed","row_type"
"G4660","","to bother, annoy; (passive) to be harassed; (middle) to trouble oneself","description"
"G4729","","(passive) to be crushed; to withhold, be restricted press","description"
"G4912","","to cover (ears); to crowd (against); to guard, hold in custody; to compel, urge on; (passive) to suffer, be distressed; to be devoted to","description"
"G8214","","distressing","lookup"
"G0139","","sect (religious party), faction, heresy","description"
"G0141","","divisive","lookup"
"G0592","","to divide, separate, cause a division","description"
"G1267","","division","lookup"
"G1370","","division, dissension","lookup"
"G2183","","(priestly) division, group, class","description"
"G3311","","dividing, separation; distribution, apportionment division","description"
"G4978","","tear, split, divide an object into parts, with an implication that the object is now damaged; by extension: division, dissension, implying discord and damage to the unity of the original group","description"
"G5010","","order, succession; kind, nature","description"
"G5015","","to trouble","lookup"
"G0420","","not resentful, patient","lookup"
"G0430","","to put up with, endure","description"
"G0941","","to carry, bear up, carry off; to tolerate, help, support","description"
"G1526","","- they are","lookup"
"G2553","","to suffer trouble, endure hardship","description"
"G2594","","to persevere, endure","lookup"
"G3114","","to have patience; to be patient; to exhibit internal and external control in a difficult circumstance, which control could exhibit itself by delaying an action","description"
"G3115","","patience, forbearance, internal and external control in a difficult circumstance, which control could exhibit itself by delaying an action","description"
"G3306","","to stay, remain, live, dwell, abide; to be in a state that begins and continues, yet may or may not end or stop. ""To abide in Christ"" is to follow his example of a life obedient to the will of God","description"
"G3958","","to experience, suffer, endure (almost always in NT with reference to unpleasant experiences)","description"
"G3984","","to try to do, attempt; to face, experience","description"
"G4722","","to put up with, stand, endure; to protect, cover","description"
"G4778","","(passive) to be mistreated with mistreat","description"
"G5159","","to put up with","description"
"G5278","","to stay behind; to stand firm, endure, persevere","description"
"G5281","","perseverance, endurance, patience","lookup"
"G5297","","to endure, bear up under, stand up under","description"
"G5342","","to bring, bear, carry; lead","description"
"G2205","","zeal, ardent concern, enthusiasm, an attitude or emotion of deep, earnest concern; jealousy, envy, rage, morally corrupt zealous ill will","description"
"G3788","","eye, the organ of sight; by extension: the faculty of mental perception and understanding","description"
"G5354","","to envy","lookup"
"G5355","","envy","lookup"
"G6041","","to envy, be jealousto be full of zeal, zealous","description"
"G0093","","wickedness, evil, wrongdoing","lookup"
"G0824","","wrong, wicked; unusual, surprising","description"
"G1426","","bad report, slander","lookup"
"G2551","","to curse, malign, speak evil of","description"
"G2554","","to do evil, do what is wrong","description"
"G2555","","wrongdoing","lookup"
"G2556","G",": evil","lookup"
"G2556","G","evil, wicked, wrong, bad, a perversion of what pertains to goodness; as a noun, an evil thing can refer to any crime, harm, or moral wrong","description"
"G2556","H",": evil","lookup"
"G2556","H","evil, wicked, wrong, bad, a perversion of what pertains to goodness; as a noun, an evil thing can refer to any crime, harm, or moral wrong","description"
"G2557","","criminal, evildoer","lookup"
"G2559","","to harm, mistreat, oppress, persecute; poison, embitter","description"
"G2560","","- badly (physically or morally)","description"
"G2636","","slander, defamation, evil speech","description"
"G4190","","bad, the negative quality of an object; evil, wicked, crime, the negative moral quality of a person or action opposed to God and his goodness; (n.) wicked deed, wicked thing; the Evil One, a title of Satan","description"
"G4191","","- more evil","lookup"
"G5337","","evil, bad","lookup"
"G7771","","an evil deed","lookup"
"G7772","","evil actions","lookup"
"G7773","","evil thinking","lookup"
"G7774","","evil-minded","lookup"
"G2334","","to see, look at, watch closely; perceive, experience","description"
"G0569","","to disbelieve, be faithless, unfaithful. In some contexts unbelief has no implication of faithlessness or hardheartedness (Lk 24:11); in other contexts unbelief is a moral failure, not acting like a true follower (2Ti 2:13)","description"
"G0570","","unbelief, lack of faith (often with the implication of stubbornly refusing to believe or act in accord with God’s will or law)","description"
"G1680","","hope, expectation","lookup"
"G3640","","of little faith, faithless","description"
"G4100","","to believe, put one’s faith in, trust, with an implication that actions based on that trust may follow; (passive) entrust","description"
"G4102","G",": faith","lookup"
"G4102","G","faith, faithfulness, belief, trust, with an implication that actions based on that trust may follow; ""the faith"" often refers to the Christian system of belief and lifestyle","description"
"G4102","H",": faith","lookup"
"G4102","H","faith, faithfulness, belief, trust, with an implication that actions based on that trust may follow; ""the faith"" often refers to the Christian system of belief and lifestyle","description"
"G4103","","faithful, trustworthy, reliable, believing","description"
"G6066","","littleness of faith","lookup"
"G0870","","fearlessly, without the slightest qualm, boldly","description"
"G1167","","timidity, cowardice","lookup"
"G1168","","to be afraid, cowardly, timid","description"
"G1630","","frightened, terrified","lookup"
"G1719","","afraid, terrified","lookup"
"G1790","","trembling","lookup"
"G2125","","to have holy fear, reverence revere","description"
"G2126","","devout, godly, God-fearing","lookup"
"G2316","","God, usually refers to the one true God; in a very few contexts it refers to a (pagan) god or goddess. The ""Son of God"" as a title of Jesus emphasizes his unique relationship to the Father. ""The god of this age"" refers to the devil","description"
"G2318","","godly, God-fearing, devout","lookup"
"G4423","","something alarming fear","lookup"
"G4576","","(middle) to worship, be devout, God-fearing","description"
"G5156","","trembling, fear","lookup"
"G5398","","fearful, dreadful, terrible","lookup"
"G5399","","to fear, be afraid, alarmed, in some contexts improper and an impediment to faith and love; to reverence, respect, worship, in other contexts a proper fear for God, a deep reverence and awe","description"
"G5400","","fearful eventthing","lookup"
"G6015","","fear, reverence, awe","lookup"
"G7949","","fear","lookup"
"G2842","","fellowship, the close association between persons, emphasizing what is common between them; by extension: participation, sharing, contribution, gift, the outcome of such close relationships","description"
"G2844","","partner, participant, one who joins in with another in some enterprise or activity, in business or ministry","description"
"G3352","","something in common, sharing, participation","description"
"G4790","","to share with, be connected with","description"
"G0453","","foolish, senseless","lookup"
"G0454","","folly, senselessness; fury","lookup"
"G0801","","senseless, dull, without understanding, foolish","description"
"G0877","","foolishness, lack of sense","description"
"G0878","","foolish, ignorant","lookup"
"G2756","","- empty (literally or figuratively)","description"
