id,strong,related_strong,related_form,related_transliteration,related_gloss,deleted
49175,G0102,G1415,δυνατός,dunatos,able,0
49176,G0102,G1743,ἐνδυναμόω,endunamoō,to strengthen,0
49177,G0102,G2616,καταδυναστεύω,katadunasteuō,to oppress,0
49178,G0103,G5215,ὕμνος,humnos,hymn,0
49179,G0103,G5603,ᾠδή,ōdē,song,0
49180,G0111,G0394,ἀνατίθημι,anatithēmi,to set before,0
49181,G0111,G0475,ἀντιδιατίθημι,antidiatithēmi,to oppose,0
49182,G0111,G1303,διατίθημι,diatithēmi,to make a covenant,0
49183,G0111,G2652,κατανάθεμα,katanathema,curse,0
49184,G0111,G2653,καταναθεματίζω,katanathematizō,to curse,0
49185,G0111,G4388,προτίθημι,protithēmi,to plan/present,0
49186,G0111,G4784,συγκατατίθημι,sunkatatithēmi,to consent,0
49187,G0111,G4934,συντίθημι,suntithēmi,to agree,0
49188,G0111,G5087,τίθημι,tithēmi,to place,0
49189,G0114,G0115,ἀθέτησις,athetēsis,nullification,0
49190,G0114,G5087,τίθημι,tithēmi,to place,0
49191,G0120,G1937,ἐπιθυμέω,epithumeō,to long for,0
49192,G0120,G1938,ἐπιθυμητής,epithumētēs,one who desires,0
49193,G0120,G1939,ἐπιθυμία,epithumia,desire,0
49194,G0120,G2114,εὐθυμέω,euthumeō,be cheerful,0
49195,G0120,G2115,εὔθυμος,euthumos,encouraging,0
49196,G0120,G2372,θυμός,thumos,wrath,0
49197,G0120,G4288,προθυμία,prothumia,eagerness,0
49198,G0120,G4289,πρόθυμος,prothumos,eager,0
49199,G0120,G4290,προθύμως,prothumōs,eagerly,0
49200,G0121,,,,,0
49201,G0133,G0132,Αἰνέας,aineas,Aeneas,0
49202,G0133,G0134,αἰνέω,aineō,to praise,0
49203,G0133,G3867,παραινέω,paraineō,to urge,0
49204,G0134,G0132,Αἰνέας,aineas,Aeneas,0
49205,G0134,G0133,αἴνεσις,ainesis,praise,0
49206,G0134,G0136,αἶνος,ainos,praise,0
49207,G0134,G1867,ἐπαινέω,epaineō,to praise,0
49208,G0134,G3867,παραινέω,paraineō,to urge,0
49209,G0136,G0134,αἰνέω,aineō,to praise,0
49210,G0136,G1868,ἔπαινος,epainos,praise,0
49211,G0139,G0138,αἱρέω,haireō,to choose,0
49212,G0139,G0140,αἱρετίζω,hairetizō,to choose,0
49213,G0139,G0141,αἱρετικός,hairetikos,schismatic,0
49214,G0139,G0830,αὐθαίρετος,authairetos,self-chosen,0
49215,G0139,G4255,προαιρέω,proaireō,to predetermine,0
49216,G0139,G4400,προχειρίζω,procheirizō,to appoint,0
49217,G0139,G4401,προχειροτονέω,procheirotoneō,to choose,0
49218,G0141,G0138,αἱρέω,haireō,to choose,0
49219,G0141,G0139,αἵρεσις,hairesis,sect,0
49220,G0141,G0140,αἱρετίζω,hairetizō,to choose,0
49221,G0141,G0830,αὐθαίρετος,authairetos,self-chosen,0
49222,G0141,G4255,προαιρέω,proaireō,to predetermine,0
49223,G0141,G4400,προχειρίζω,procheirizō,to appoint,0
49224,G0141,G4401,προχειροτονέω,procheirotoneō,to choose,0
49225,G0143,G0144,αἴσθησις,aisthēsis,insight,0
49226,G0143,G0145,αἰσθητήριον,aisthētērion,sense,0
49227,G0143,G1271,διάνοια,dianoia,mind,0
49228,G0143,G1272,διανοίγω,dianoigō,to open up,0
49229,G0143,G1771,ἔννοια,ennoia,thought/purpose,0
49230,G0143,G1950,ἐπιλανθάνω,epilanthanō,to forget,0
49231,G0143,G1963,ἐπίνοια,epinoia,thought,0
49232,G0143,G3105,μαίνομαι,mainomai,to rave,0
49233,G0143,G3539,νοέω,noeō,to understand,0
49234,G0143,G3543,νομίζω,nomizō,to think,0
49235,G0143,G4307,πρόνοια,pronoia,foresight,0
49236,G0143,G5283,ὑπόνοια,huponoia,suspicion,0
49237,G0144,G0143,αἰσθάνομαι,aisthanomai,to perceive,0
49238,G0145,G0143,αἰσθάνομαι,aisthanomai,to perceive,0
49239,G0146,G0147,αἰσχροκερδῶς,aischrokerdōs,greedily,0
49240,G0146,G0150,αἰσχρός,aischros,shameful,0
49241,G0146,G2771,κέρδος,kerdos,gain,0
49242,G0147,G0146,αἰσχροκερδής,aischrokerdēs,greedy,0
49243,G0147,G0150,αἰσχρός,aischros,shameful,0
49244,G0147,G2771,κέρδος,kerdos,gain,0
49245,G0149,G0148,αἰσχρολογία,aischrologia,obscenity,0
49246,G0149,G0150,αἰσχρός,aischros,shameful,0
49247,G0149,G0151,αἰσχρότης,aischrotēs,obscenity,0
49248,G0149,G0152,αἰσχύνη,aischunē,shame,0
49249,G0149,G0153,αἰσχύνω,aischunō,be ashamed,0
49250,G0149,G0422,ἀνεπαίσχυντος,anepaischuntos,unashamed,0
49251,G0149,G1870,ἐπαισχύνομαι,epaischunomai,be ashamed of,0
49252,G0149,G2617,καταισχύνω,kataischunō,to dishonor,0
49253,G0150,G0148,αἰσχρολογία,aischrologia,obscenity,0
49254,G0150,G0150,αἰσχρός,aischros,shameful,0
49255,G0150,G0151,αἰσχρότης,aischrotēs,obscenity,0
49256,G0150,G0152,αἰσχύνη,aischunē,shame,0
49257,G0150,G0153,αἰσχύνω,aischunō,be ashamed,0
49258,G0150,G0422,ἀνεπαίσχυντος,anepaischuntos,unashamed,0
49259,G0150,G1870,ἐπαισχύνομαι,epaischunomai,be ashamed of,0
49260,G0150,G2617,καταισχύνω,kataischunō,to dishonor,0
49261,G0152,G0148,αἰσχρολογία,aischrologia,obscenity,0
49262,G0152,G0150,αἰσχρός,aischros,shameful,0
49263,G0152,G0151,αἰσχρότης,aischrotēs,obscenity,0
49264,G0152,G0153,αἰσχύνω,aischunō,be ashamed,0
49265,G0152,G0422,ἀνεπαίσχυντος,anepaischuntos,unashamed,0
49266,G0152,G1870,ἐπαισχύνομαι,epaischunomai,be ashamed of,0
49267,G0152,G2617,καταισχύνω,kataischunō,to dishonor,0
49268,G0153,G0148,αἰσχρολογία,aischrologia,obscenity,0
49269,G0153,G0150,αἰσχρός,aischros,shameful,0
49270,G0153,G0151,αἰσχρότης,aischrotēs,obscenity,0
49271,G0153,G0152,αἰσχύνη,aischunē,shame,0
49272,G0153,G0422,ἀνεπαίσχυντος,anepaischuntos,unashamed,0
49273,G0153,G1870,ἐπαισχύνομαι,epaischunomai,be ashamed of,0
49274,G0153,G2617,καταισχύνω,kataischunō,to dishonor,0
49275,G0154,G0155,αἴτημα,aitēma,request,0
49276,G0154,G3868,παραιτέομαι,paraiteomai,to refuse/excuse,0
49277,G0156,G0154,αἰτέω,aiteō,to ask,0
49278,G0156,G0157,αἰτίαμα,aitiama,charge,0
49279,G0158,G0156,αἰτία,aitia,cause/charge,0
49280,G0158,G0159,αἴτιος,aitios,causer,0
49281,G0159,G0154,αἰτέω,aiteō,to ask,0
49282,G0159,G0159,αἴτιος,aitios,causer,0
49283,G0159,G0338,ἀναίτιος,anaitios,innocent,0
49284,G0165H,G0104,ἀεί,aei,always,0
49285,G0165H,G0165G,αἰών,aiōn,an age: age,0
49286,G0165H,G0165H,αἰών,aiōn,an age: eternity,0
49287,G0165H,G0166,αἰώνιος,aiōnios,eternal,0
49288,G0165H,G5550,χρόνος,chronos,time,0
49289,G0167,G0168,ἀκαθάρτης,akathartēs,uncleanness,0
49290,G0167,G0169,ἀκάθαρτος,akathartos,unclean,0
49291,G0167,G2511,καθαρίζω,katharizō,to clean,0
49292,G0167,G2512,καθαρισμός,katharismos,cleansing,0
49293,G0167,G2513,καθαρός,katharos,clean,0
49294,G0168,G0167,ἀκαθαρσία,akatharsia,impurity,0
49295,G0168,G0169,ἀκάθαρτος,akathartos,unclean,0
49296,G0168,G2511,καθαρίζω,katharizō,to clean,0
49297,G0168,G2512,καθαρισμός,katharismos,cleansing,0
49298,G0168,G2513,καθαρός,katharos,clean,0
49299,G0169,G0167,ἀκαθαρσία,akatharsia,impurity,0
49300,G0169,G0168,ἀκαθάρτης,akathartēs,uncleanness,0
49301,G0169,G2511,καθαρίζω,katharizō,to clean,0
49302,G0169,G2512,καθαρισμός,katharismos,cleansing,0
49303,G0169,G2513,καθαρός,katharos,clean,0
49304,G0172,G2556G,κακός,kakos,evil/harm: evil,0
49305,G0172,G2556H,κακός,kakos,evil/harm: harm,0
49306,G0176,G2607,καταγινώσκω,kataginōskō,to condemn,0
49307,G0181,G0182,ἀκατάστατος,akatastatos,restless,0
49308,G0185,,,,,0
49309,G0189,G0191,ἀκούω,akouō,to hear,0
49310,G0191,G0189,ἀκοή,akoē,hearing,0
49311,G0191,G1251,διακούω,diakouō,to give a hearing,0
49312,G0191,G1522,εἰσακούω,eisakouō,to listen to,0
49313,G0191,G1873,ἐπακούω,epakouō,to listen to,0
49314,G0191,G1874,ἐπακροάομαι,epakroaomai,to listen ro,0
49315,G0191,G3878,παρακούω,parakouō,to ignore,0
49316,G0191,G5219,ὑπακούω,hupakouō,to obey,0
49317,G0192,G0193,ἀκρατής,akratēs,intemperate,0
49318,G0192,G2904,κράτος,kratos,power,0
49319,G0193,G0192,ἀκρασία,akrasia,self-indulgence,0
49320,G0193,G2904,κράτος,kratos,power,0
49321,G0194,G2767,κεράννυμι,kerannumi,to mix,0
49322,G0198,G0196,ἀκριβέστατος,akribestatos,strictest,0
49323,G0212,G0213,ἀλαζών,alazōn,braggart,0
49324,G0213,G0212,ἀλαζονεία,alazoneia,boasting,0
49325,G0214,,,,,0
49326,G0218,G1813,ἐξαλείφω,exaleifō,to blot out,0
49327,G0218,G3045,λιπαρός,liparos,rich,0
49328,G0225,G0226,ἀληθεύω,alētheuō,be truthful,0
49329,G0225,G0227,ἀληθής,alēthēs,true,0
49330,G0225,G0228,ἀληθινός,alēthinos,true,0
49331,G0225,G0230,ἀληθῶς,alēthōs,truly,0
49332,G0226,G0225,ἀλήθεια,alētheia,truth,0
