id,strong,mounce_parsed,row_type,deleted
406041,G4192,"pain, agony; hard work, toil travail",description,0
406042,G4730,"distress, hardship, difficulty",lookup,0
406043,G4928,"anguish, distress",lookup,0
406044,G0218,"to pour on, anoint (usually with olive oil)",description,0
406045,G1472,"to put on, rub on, anoint",description,0
406046,G2025,"to put on, anoint on, spread on",description,0
406047,G3462,"to pour perfume, anoint",description,0
406048,G5545,anointing,lookup,0
406049,G5547,"Christ, Anointed One, Messiah, the Greek translation of the H5431 (cf. Greek G3549). The Messiah is the Son of David, an anointed leader expected to bring in an age of peace and liberty from all oppression. In the NT, the Messiah is Jesus, who came first to bring liberty from sin and peace with God and who will come again to bring all things under his control",description,0
406050,G5548,"to anoint (physically, with oil; spiritually, with the Holy Spirit), to assign a person to a special task, implying a giving of power by God to accomplish the task",description,0
406051,G6221,an anointing,lookup,0
406052,G8202,to anoint; fatten,lookup,0
406053,G0253,"free from anxiety; in the comparative, less anxiety",description,0
406054,G0275,"free from concern, free from care",description,0
406055,G3308,"worry, concern, anxiety",lookup,0
406056,G4329,"anticipation, expectation; apprehension",lookup,0
406057,G0776,going without food,lookup,0
406058,G2836,"any and all internal organs, translated in context as: belly, stomach, womb, etc.; by extension: the source of feelings and emotions. ""The fruit of the womb"" means ""a child.""",description,0
406059,G1169,"afraid, cowardly, timid",lookup,0
406060,G1568,"(passive) to be overwhelmed with wonder, distressed, alarmed",description,0
406061,G2124,"reverence, reverent submission",lookup,0
406062,G2284,"(passive) to be amazed, astoundedastonish",description,0
406063,G5401,"fear, terror; respect, reverence; see also G4989",description,0
406064,G6156,to stand in awe,description,0
406065,G6786,be in awe,lookup,0
406066,G6791,awful,lookup,0
406067,G7904,be struck with awe,description,0
406068,G4087,"to turn sour, make bitter; to become sour, embittered embitter",description,0
406069,G4088,bitterness,lookup,0
406070,G4089,"bitter, salty",lookup,0
406071,G7895,very bitter,lookup,0
406072,G8793,bitterness,lookup,0
406073,G8794,a bitter herb,lookup,0
406074,G0212,"boasting, pretension, arrogance",lookup,0
406075,G0213,"boaster, braggart",lookup,0
406076,G0850,dark,lookup,0
406077,G2620,to boast about; to triumphglory over,description,0
406078,G2744,"to boast, brag about; to rejoice in, glory in; this can refer to proper or improper boasting, depending on the object of the boast",description,0
406079,G2745,"something to boast about, boasting; pride, joy",description,0
406080,G2746,"boasting, pride;",lookup,0
406081,G2755,"conceited, a state of pride that has no proper basis",description,0
406082,G3004G,: speak/ask,lookup,0
406083,G3004G,"- properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 and G5346 generally refer to an individual expression or speech respectively; while G4483 is properly to break silence merely, and G2980 means an extended or random harangue)); by implication, to mean",description,0
406084,G3166,to boast,lookup,0
406085,G4068,"to boast, brag",lookup,0
406086,G5111,"to dare, be bold, courageous",description,0
406087,G5246,"boastful, bombastic",lookup,0
406088,G6094,,not applicable,0
406089,G7013,to boast of,lookup,0
406090,G0662,to bring forth boldly,description,0
406091,G2292,"to have confidence, be bold be confident",description,0
406092,G3954,"boldness, confidence, frankness; public, openness (of speech)",description,0
406093,G3955,"to speak boldly, preach fearlessly",description,0
406094,G4006,"confidence, trust",lookup,0
406095,G5112,"bold, daring, audacious; (comp. adv.) quite boldly",description,0
406096,G5113,"bold man, daring man",description,0
406097,G7683,boldness,lookup,0
406098,G7684,bold-hearted,lookup,0
406099,G7686,bold; rash,lookup,0
406100,G0509,"from above; from the beginning; again, anew",description,0
406101,G1397,"slavery, bondage",lookup,0
406102,G1398,to serve (asbe a slave),description,0
406103,G1402,"to enslave, to cause one to become a slave; (passive) to become enslaved",description,0
406104,G2615,"to make a slave, enslave",description,0
406105,G1284,"to tear, break",lookup,0
406106,G1288,(passive) to be torn to piecesapart,description,0
406107,G1358,to break in,lookup,0
406108,G1575,(passive) to be broken off break,description,0
406109,G1846,"to dig through, tear out",description,0
406110,G2801,"broken piece, fragment",lookup,0
406111,G2806,to break,lookup,0
406112,G3089,"to loose, release, untie; to break, destroy",description,0
406113,G4917,(passive) to be broken to pieces shatter,description,0
406114,G4937,"to break, destroy; (passive) to be broken, bruised, dashed to pieces",description,0
406115,G4977,"to tear, divide; (passive) to be torn, divided, split (in opinion)",description,0
406116,G5259G,: by,lookup,0
406117,G5259G,"(gen.) by, by means of; (acc.); under (in space as well as in status or authority); at (a time of day)",description,0
406118,G6485,a broken branch,lookup,0
406119,G0235,"but, instead, yet, except",description,0
406120,G0994,"to call, cry out, shout",description,0
406121,G1528,to invite into,lookup,0
406122,G1793,"to intercede, appeal, petition",description,0
