registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
being,G0226,Greek,alētheuō,be truthful,M13,Truth
being,G0416,Greek,anemizomai,be wind-blown,,
being,G0433,Greek,anēkō,be fitting,,
being,G0445,Greek,anthupateuō,to be proconsul,,
being,G0480,Greek,antikeimai,be an opponent,,
being,G0548,Greek,apeimi,be absent,,
being,G0566,Greek,apechei,to receive/avoid,,
being,G0567,Greek,apechomai,to refrain/,,
being,G0568G,Greek,apechō,to be distant,,
being,G0581,Greek,apogenomenos,to cease to be,,
being,G0639,Greek,aporeō,be perplexed,M20,Doubt
being,G0662,Greek,apotolmaō,be bold,M34,Perseverance
being,G0691,Greek,argeō,be idle,,
being,G0714,Greek,arkeō,be sufficient,,
being,G0757,Greek,archō,be first,M08,Pride
being,G0764,Greek,asebeō,be ungodly,,
being,G0770G,Greek,astheneō,be weak: weak,M24,Weakness
being,G0770H,Greek,astheneō,be weak: ill,M24,Weakness
being,G0790,Greek,astateō,be unsettled,,
being,G0812,Greek,atakteō,be idle,,
being,G0992,Greek,blēteon,must be put,,
being,G1073,Greek,gemō,be full,,
being,G1096,Greek,ginomai,to be,T2,Supplementary
being,G1130,Greek,gumnēteuō gumniteuō,be naked,T2,Supplementary
being,G1139,Greek,daimonizomai,be demonised,,
being,G1163,Greek,dei,be necessary,,
being,G1168,Greek,deiliaō,be timid,M01,Fear
being,G1259,Greek,diallassō,be reconciled,M33,Peace
being,G1278,Greek,diaponeō,be vexed,,
being,G1280,Greek,diaporeō,be perplexed,M20,Doubt
being,G1282,Greek,diapriō,be furious,,
being,G1316,Greek,diachōrizō,be separated,,
being,G1398,Greek,douleuō,be a slave,M36,Service
being,G1410,Greek,dunamai,be able,T2,Supplementary
being,G1414,Greek,dunateō,be able,M23,Strength
being,G1414,Greek,dunateō,be able,T2,Supplementary
being,G1480,Greek,ethizō,be accustomed,,
being,G1498,Greek,eiēn,may be,,
being,G1510,Greek,eimi,to be,T2,Supplementary
being,G1514,Greek,eirēneuō,be at peace,M33,Peace
being,G1553,Greek,ekdēmeō,be away,,
being,G1568,Greek,ekthambeō,be awe-struck,M01,Fear
being,G1572,Greek,ekkaiō,be enflamed,,
being,G1605,Greek,ekplēssō,be astonished,,
being,G1612,Greek,ekstrefō,be warped,,
being,G1690,Greek,embrimaomai,be agitated,,
being,G1693,Greek,emmainomai,be enraged,,
being,G1735,Greek,endechomai,be possible,,
being,G1736,Greek,endēmeō,be home,,
being,G1740,Greek,endoxazomai,be glorified,,
being,G1751,Greek,eneimi,be in,,
being,G1754,Greek,energeō,be active,M23,Strength
being,G1757,Greek,eneulogeomai,be blessed,,
being,G1764,Greek,enistēmi,be present,,
being,G1789,Greek,entrefō,be reared,,
being,G1832,Greek,exesti exon,be permitted,M31,Faith
being,G1847,Greek,exoudenoō,be rejected,T2,Supplementary
being,G1870,Greek,epaischunomai,be ashamed of,M07,Shame
being,G1902,Greek,ependuō,be clothed,,
being,G1952,Greek,epileipō,be insufficient,,
being,G20125,Greek,apoteknoomai,be childless,,
being,G2071,Greek,esomai,will be,,
being,G2077,Greek,estō,you be!,,
being,G2114,Greek,euthumeō,be cheerful,M04,Joy
being,G21401,Greek,epibrithō,be inundated,,
being,G2141,Greek,euporeō,be prosperous,,
being,G21410,Greek,leukathizō,be white,,
being,G2164,Greek,euforeō,be fruitful,,
being,G2174,Greek,eupsucheō,be glad,M04,Joy
being,G2192,Greek,echō,to have/be,M23,Strength
being,G2204,Greek,zeō,be fervent,M19,Trust
being,G2206,Greek,zēloō,be eager,M19,Trust
being,G2240,Greek,hēkō,to come/be present,,
being,G2270,Greek,hēsuchazō,be quiet/give up,M33,Peace
being,G2274,Greek,hēssaomai,be lesser,,
being,G2277,Greek,ētō,let him/it be,,
being,G2292,Greek,tharreō,be confident,M04,Joy
being,G2292,Greek,tharreō,be confident,M23,Strength
being,G2348,Greek,thnēskō,to die/be dead,T2,Supplementary
being,G2450,Greek,ioudaizō,Jew,,
being,G2468,Greek,isthi,you should be,,
being,G2480,Greek,ischuō,be strong,M23,Strength
being,G2520,Greek,kathēkō,be fit,,
being,G2577G,Greek,kamnō,be weary/sick: weak,,
being,G2577H,Greek,kamnō,be weary/sick: ill,,
being,G2686,Greek,katasofizomai,be cunning,M14,Deceit
being,G2693,Greek,katastrōnnumi,be thrown down,,
being,G2749,Greek,keimai,to lay/be appointed,,
being,G2793,Greek,kinduneuō,be in danger,,
being,G2863,Greek,komaō,be long-haired,,
