id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18281,Rom,25562,8,12,8,16,Rom 8:12-16,5,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18282,Rom,1794,8,17,8,17,Rom 8:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18283,Rom,19238,8,18,8,18,Rom 8:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18284,Rom,22914,8,19,8,19,Rom 8:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18285,Rom,8047,8,20,8,20,Rom 8:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18286,Rom,6065,8,21,8,21,Rom 8:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18287,Rom,23596,8,22,8,22,Rom 8:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18288,Rom,8048,8,23,8,23,Rom 8:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18289,Rom,22576,8,24,8,25,Rom 8:24-25,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18290,Rom,8049,8,26,8,28,Rom 8:26-28,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18291,Rom,25133,8,29,8,29,Rom 8:29,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18292,Rom,9011,8,30,8,30,Rom 8:30,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18293,Rom,22915,8,31,8,31,Rom 8:31,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18294,Rom,8050,8,32,8,32,Rom 8:32,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18295,Rom,22916,8,33,8,33,Rom 8:33,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18296,Rom,1795,8,34,8,34,Rom 8:34,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18297,Rom,1225,8,35,8,35,Rom 8:35,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18298,Rom,8051,8,37,8,37,Rom 8:37,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18299,Rom,26509,8,38,8,38,Rom 8:38,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18300,Rom,1796,8,39,8,39,Rom 8:39,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18301,Rom,1797,9,1,9,1,Rom 9:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18302,Rom,1251,9,2,9,2,Rom 9:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18303,Rom,1798,9,3,9,3,Rom 9:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18304,Rom,16980,9,4,9,4,Rom 9:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18305,Rom,1799,9,5,9,5,Rom 9:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18306,Rom,8052,9,7,9,7,Rom 9:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18307,Rom,8053,9,8,9,8,Rom 9:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18308,Rom,8055,9,11,9,11,Rom 9:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18309,Rom,25500,9,13,9,13,Rom 9:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18310,Rom,22410,9,14,9,14,Rom 9:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18311,Rom,4369,9,15,9,16,Rom 9:15-16,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18312,Rom,4370,9,17,9,17,Rom 9:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18313,Rom,13708,9,18,9,18,Rom 9:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18314,Rom,18431,9,19,9,20,Rom 9:19-20,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18315,Rom,23457,9,21,9,21,Rom 9:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18316,Rom,569,9,22,9,22,Rom 9:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18317,Rom,13722,9,23,9,23,Rom 9:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18318,Rom,8057,9,24,9,26,Rom 9:24-26,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18319,Rom,9066,9,27,9,27,Rom 9:27,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18320,Rom,26358,9,28,9,28,Rom 9:28,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18321,Rom,22676,9,30,9,31,Rom 9:30-31,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18322,Rom,8058,9,32,9,32,Rom 9:32,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18323,Rom,22642,9,33,9,33,Rom 9:33,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18324,Rom,18489,10,1,10,1,Rom 10:1,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18325,Rom,8059,10,2,10,2,Rom 10:2,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18326,Rom,18530,10,3,10,6,Rom 10:3-6,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18327,Rom,1802,10,7,10,7,Rom 10:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18328,Rom,4372,10,8,10,11,Rom 10:8-11,4,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18329,Rom,8298,10,12,10,14,Rom 10:12-14,3,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18330,Rom,23371,10,15,10,15,Rom 10:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18331,Rom,4374,10,16,10,16,Rom 10:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18332,Rom,1803,10,17,10,17,Rom 10:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18333,Rom,4375,10,18,10,18,Rom 10:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18334,Rom,596,10,19,10,19,Rom 10:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
